id|name|location|lat|lon|the_geom|image_available|video_available 
69|JSS|||||t|f
2|Anand Rao Jn|||||t|f
3|Anil Kumble Circle|||||t|f
4|Arakere Gate|||||t|f
6|Arts & Craft Circle|||||t|f
9|Aishwarya Dept 7th Main 1st Block|||||t|f
13|Bangalore Medical College Circle|||||t|f
18|BEML - Suranjan Das Jn|||||t|f
19|Bhadrappa layout|||||t|f
23|Big Bazaar Jn (Pharmed Factory Jn)|||||t|f
24|Bilekahalli Jn|||||t|f
29|Cambell Road Jn|||||t|f
31|Chamrajpet 5th Main & Bull Temple Rd Jn|||||t|f
33|Chandrika Jn|||||t|f
36|Coffee Board Jn|||||t|f
37|Devagoda Petrol Pump|||||t|f
38|Devasandra Jn(KR PURAM)|||||t|f
40|Domlur Water Tank Jn|||||t|f
41|Dr. Rajkumar Road 17th cross Jn|||||t|f
42|Dr. Rajkumar 10th cross Jn|||||t|f
43|Dr. Rajkumar Rd Basavamantapa|||||t|f
45|Ejipura Jn|||||t|f
46|Elite Jn|||||t|f
49|Forum mall on the other side|||||t|f
50|Garuda Mall Jn|||||t|f
52|Graphite India Jn|||||t|f
53|Hains Road|||||t|f
54|Havanur Circle (Basaveshwaranagar)|||||t|f
56|High Ground Old PS|||||t|f
68|Jaimunirao Circle - Magadi Main Road|||||t|f
75|Kammanahalli|||||t|f
77|Kanteerava Jn (FTI)|||||t|f
78|Karnataka Bhavan|||||t|f
80|Khodays Jn|||||t|f
85|Koramangala-BDA Jn|||||t|f
86|Krishna Floor Mill Jn|||||t|f
87|Krupanidhi College|||||t|f
88|Kundelahalli Gate|||||t|f
89|Kuvempu Circle|||||t|f
91|Lalbagh Main Gate|||||t|f
92|Lower Agaram Jn (India Garage)|||||t|f
93|LRDE Jn|||||t|f
94|M S Ramaiah Hospital|||||t|f
96|Madiwala Check post|||||t|f
97|Maharani College Circle|||||t|f
98|Malleswaram 18th Cross Jn|||||t|f
99|Manipal Hospital|||||t|f
100|Margosa road Malleswaram|||||t|f
101|Mayo Hall Jn|||||t|f
105|Naga theatre|||||t|f
106|Nanjappa circle (long ford)|||||t|f
109|Nimhans|||||t|f
110|O - Form Jn|||||t|f
114|Prasanna Theatre|||||t|f
115|Queens circle - Jewels D Paragon|||||t|f
116|Queens Road (Vetenary Hospital)|||||t|f
118|Rajajinagar Basham Circle|||||t|f
120|Rajajinagar ESI hospital (Raj 12th main)|||||t|f
122|RRR (Okalipuram)|||||t|f
123|Sadahalli|||||t|f
124|Sadashivanagar Jn|||||t|f
125|Sagar Apollo Jn|||||t|f
126|Sagar Theatre|||||t|f
127|Sampige Road Mill Corner Jn|||||t|f
129|Sarjapura Checkpost (St. Johns Koramangala)|||||t|f
131|SBI Circle|||||t|f
135|Shivaji Nagar Intersection (BRV)|||||t|f
138|Siddapura Jn|||||t|f
139|Sidhalingaiah Jn|||||t|f
142|Srigandakavulu|||||t|f
145|Thomas Bakery|||||t|f
147|Trinity Circle|||||t|f
148|Tyagihengalrayana Jn|||||t|f
150|Ullasappa Jn|||||t|f
151|Ulsoor Rd Dickenson Rd|||||t|f
153|Urvashi Jn|||||t|f
154|Veeranapalya|||||t|f
156|Webbs Circle|||||t|f
157|Windsor Manor Rotary|||||t|f
158|Wipro Jn Adugudi|||||t|f
159|WOC Road Near Shivanahalli|||||t|f
70|K G Jn (Upperpata)|||||t|f
71|K H Jn (Wilson Garden)|||||t|f
1|Adugodi Police Stn Jn|Hosur Road|12.94186|77.60868|0101000020E6100000AD6EF59CF466534035D252793BE22940|t|f
